model,image_name,mosz1,mosz2,mosz3,prompt
Lafite,098-3.png,2.057789105702148,2.083701391206361,2.351484297529041,"""a street without vehicles"""
DALLE,023-2.png,3.1319094190102232,2.70879990033411,3.293275091845606,"""a propaganda poster depicting a cat dressed as french emperor napoleon holding a piece of cheese"""
Unidiffuser,034-4.png,2.797363553407497,3.1068051414354207,2.793528634409884,"""a small garden with an apple tree behind it"""
Unidiffuser,057-3.png,2.0066900639110754,2.2175728937207837,2.62513504030827,"""an oil painting of a tree and a building"""
Lafite,073-4.png,2.272944622232552,2.310544251405682,2.5288385240708493,"""two red balls on a table"""
DALLE,039-4.png,2.694488305811501,2.370851851676248,2.7566934610560128,"""a teddy bear on a skateboard in times square"""
DALLE,045-2.png,2.538611512585652,2.407580892889845,2.292353732724428,"""A bowl of soup that looks like a monster with tofu says deep learning"""
Lafite,052-4.png,2.1864928224009117,2.167886622261707,2.468691849783243,"""a cartoon of a train going to the moon"""
Unidiffuser,073-3.png,1.8509255850480664,2.1173440712016807,2.5969704029169405,"""two red balls on a table"""
Glide,047-1.png,2.0333259086019613,2.098974157263606,2.1952294948883244,"""a small kitchen with a white goat in it"""
stable-diffusion,017-3.png,3.020491066821921,3.0360288872433907,2.7399775200609886,"""a coffee table with a magazine on it"""
Glide,051-2.png,2.1086183553347846,2.056710700597369,1.770607557690372,"""a portrait of a man wearing sunglasses and a business suit, painting in pop art style"""
Controlnet,064-3.png,2.5315491282652016,2.1611261481945574,2.3337868144149136,"""the word 'APPLE' on an apple"""
Lafite,070-1.png,1.788174202835604,1.909738970119779,1.7669082273035344,"""Four cats surrounding a dog"""
stable-diffusion,009-1.png,1.9081916487217496,2.010128704656037,2.3566957966272204,"""a photo of san francisco's golden gate bridge"""
Glide,032-2.png,2.2373721587752184,2.8830754137214685,3.1960173683274204,"""a large white yacht in a calm bay on a sunny day"""
Controlnet,044-2.png,2.6761610053841443,2.516414962808825,2.505397422335735,"""an orange wearing a cowboy hat"""
Unidiffuser,087-3.png,3.0529219072291323,3.083101143763208,2.7344215176668945,"""an aerial view of a dining room"""
stable-diffusion,043-3.png,2.75580404407951,2.9344261094851247,2.6014438842698,"""a sword slicing through a loaf of bread"""
Unidiffuser,071-1.png,2.6443438982195864,2.458020434912148,2.336572208646993,"""three children on a couch"""
DALLE,054-2.png,3.0412151640339795,3.1343553924327496,2.364891066372546,"""A photo of a lotus flower made of water. """
stable-diffusion,050-2.png,2.784433520224156,2.7533517754371117,2.7527588904708096,"""A photo of a panda made of water."""
Unidiffuser,093-2.png,2.4730250514603886,2.607750819902692,2.024989610897243,"""a closet without clothes"""
stable-diffusion,012-2.png,3.0651951654678227,3.019029914189912,2.956741816438661,"""A red bus is driving on the road"""
DALLE,055-1.png,2.6235837099636723,2.693054750260625,2.793076605706603,"""a painting of the food of china"""
Unidiffuser,066-4.png,1.8637591023978888,1.995931045862863,2.023407595182236,"""the word 'START'"""
Glide,011-1.png,2.070552842505235,1.9551660630269476,1.824051099548419,"""a woman with long hair"""
stable-diffusion,089-4.png,1.8857101573661093,2.238875642482874,2.541781681223978,"""an aerial view of the Great Wall"""
DALLE,039-3.png,3.028550027373333,3.064503862270332,3.0334199714841428,"""a teddy bear on a skateboard in times square"""
Unidiffuser,022-2.png,3.095058016651013,2.81740801539956,2.7314322023137017,"""a blue semi-truck and its trailer jumping over a row of motorcycles. there are metal ramps on either side of the motorcycles. """
Glide,046-3.png,1.9791971941934456,2.1945139988248537,2.0887263382316155,"""a drawing of a series of musical notes wrapped around the Earth"""
Lafite,044-2.png,2.218704720345053,1.8459440520730117,1.8373611701284065,"""an orange wearing a cowboy hat"""
stable-diffusion,004-3.png,2.161860423934683,2.1808515961330825,2.147470006344345,"""a flower"""
Controlnet,036-3.png,2.4062332542371108,2.017096546831259,2.164002262624236,"""a kids' book cover with an illustration of white dog driving a red pickup truck"""
Glide,055-1.png,1.858281863005796,2.012093516168397,2.254834422193537,"""a painting of the food of china"""
DALLE,069-4.png,3.179252827941567,3.1329814456924234,2.655796566367012,"""A green sign that says ""Very Deep Learning"" and is at the edge of the Grand Canyon."""
DALLE,005-2.png,3.231126894251233,3.221052645975817,3.0469601773394777,"""a green pepper"""
Controlnet,047-1.png,3.0114914672339723,2.826831581350421,2.58541484477536,"""a small kitchen with a white goat in it"""
DALLE,061-4.png,3.3059153274211504,3.2946593145181438,2.842392714243181,"""the word 'HELLO' on a girl's face"""
DALLE,003-3.png,2.8947648551212515,2.645173947357004,2.7335410669173887,"""a bench"""
DALLE,065-3.png,2.864865894667031,2.893476930681631,2.359576920476132,"""Two cups of coffee, one with latte art of the words ""LOVE"" written in one. The other has latte art of the words ""PEACE"" written in the other."""
Controlnet,064-2.png,2.604777052371163,2.3757810961210604,2.166207828691764,"""the word 'APPLE' on an apple"""
stable-diffusion,041-2.png,2.9284847776545293,3.06573172877435,3.1789216624691288,"""A photo of an astronaut riding a horse in the forest."""
Lafite,097-3.png,2.254832867555191,2.404346974136112,2.687616286371409,"""a kitchen without a refrigerator"""
Unidiffuser,021-1.png,2.507303973831889,2.334628511331017,2.145112451535896,"""a grandmother reading a book to her grandson and granddaughter"""
DALLE,021-3.png,2.898856266001503,2.9812212660102246,3.1003565849263284,"""a grandmother reading a book to her grandson and granddaughter"""
Glide,094-1.png,2.135700649704309,2.381239632058465,2.129129857682244,"""a banana without its peel"""
stable-diffusion,024-3.png,2.1483565393774566,2.289643780175706,2.1753902929100386,"""a tree reflected in the sunroof of a blue car"""
Lafite,005-1.png,1.8020744652389025,1.8044110389084689,1.8346255839815044,"""a green pepper"""
Controlnet,065-3.png,3.1791803207501506,2.809816599354437,2.2354699183638926,"""Two cups of coffee, one with latte art of the words ""LOVE"" written in one. The other has latte art of the words ""PEACE"" written in the other."""
DALLE,011-2.png,3.0005462195378736,3.166786481107786,3.039239533753413,"""a woman with long hair"""
Lafite,098-1.png,1.968117123444944,2.1095240749645137,2.2070054878316108,"""a street without vehicles"""
DALLE,090-3.png,2.623807228253402,2.3119832188916485,2.144026538224765,"""A bird gives an apple to a squirrel"""
Controlnet,092-4.png,2.2203281062410243,2.16456202511879,1.9883056013691427,"""a car with no windows"""
Controlnet,005-4.png,2.8350548000310067,2.8216452209431457,3.036615395079894,"""a green pepper"""
stable-diffusion,081-1.png,2.425413935756682,2.447468914879354,2.1351270022122075,"""two people facing each other"""
Unidiffuser,036-2.png,2.612289859230992,2.2346803984218906,2.5931557100524203,"""a kids' book cover with an illustration of white dog driving a red pickup truck"""
Lafite,074-2.png,1.8115857709902712,1.8174807703934583,1.656525130241053,"""ten red apples"""
Unidiffuser,013-2.png,2.726083987021541,2.68983241500955,2.3437569112442325,"""a teddy bear on a skateboard"""
Glide,026-2.png,2.1111524605885927,2.309817301758512,1.968032130940593,"""A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like colorful macarons. All of the macarons are wearing cowboy hats."""
Unidiffuser,084-3.png,1.962724739361677,1.8938299025281744,1.8480494530644127,"""a cross-section view of a walnut"""
Controlnet,074-3.png,2.7413686206299275,2.389328135699082,2.298254325187064,"""ten red apples"""
Controlnet,082-1.png,2.581198929965152,2.652719187941165,2.1492435257985383,"""an overhead view of a pickup truck with boxes in its flatbed"""
Controlnet,014-4.png,3.012565999438994,2.826220966986146,3.025673872429807,"""a pumpkin with a candle in it"""
Glide,003-3.png,2.063368642049964,2.2576588304417404,2.626477336688648,"""a bench"""
stable-diffusion,080-3.png,2.814539169238317,2.2896699691476297,2.147589808769984,"""view of a giraffe and a zebra in the middle of a field"""
Controlnet,029-1.png,3.0899676377919527,2.9762164126683937,2.814606635984061,"""An anime illustration of Sydney Opera House sitting next to Eiffel tower, under a blue night sky of roiling energy, exploding yellow stars, and radiating swirls of blu"""
Glide,083-3.png,1.87974526312425,2.50827051371696,2.522090181176896,"""view of a clock tower from above"""
Unidiffuser,040-3.png,2.9451303893763696,2.8644779717282867,3.2516069856252363,"""A blue colored dog"""
Unidiffuser,044-3.png,2.201203404230223,2.227164127030416,2.109629909978131,"""an orange wearing a cowboy hat"""
stable-diffusion,098-2.png,3.1441123109448355,3.102810063587743,2.7176998727748964,"""a street without vehicles"""
Controlnet,081-1.png,2.464865925779985,2.4379079605130705,2.825847684088604,"""two people facing each other"""
Glide,047-3.png,2.1296344817637016,2.6379074152174686,2.1067827077338785,"""a small kitchen with a white goat in it"""
Controlnet,089-3.png,2.9329439571437117,2.931226068060622,2.8945875229114977,"""an aerial view of the Great Wall"""
stable-diffusion,084-4.png,2.863301546683238,2.704741264557552,2.784389727094763,"""a cross-section view of a walnut"""
Lafite,070-2.png,2.06084900735143,2.277081905248905,2.0076184119382683,"""Four cats surrounding a dog"""
DALLE,094-2.png,2.950466301690211,2.9016732661818487,2.399714489053075,"""a banana without its peel"""
Unidiffuser,049-3.png,3.2337551113693905,2.68170721377805,3.076856320274289,"""an elephant walking on the Great Wall"""
Unidiffuser,063-2.png,2.7757561664987898,2.766417515485453,2.4332095437426298,"""A sign that says Deep Learning"""
Lafite,040-3.png,1.7645113576525258,1.953555685262438,2.2582346887529843,"""A blue colored dog"""
Lafite,089-1.png,1.818575120511276,2.2869843801709817,2.350258556193256,"""an aerial view of the Great Wall"""
Controlnet,051-3.png,2.5473001152840817,2.298493246466415,2.229627919684952,"""a portrait of a man wearing sunglasses and a business suit, painting in pop art style"""
DALLE,064-2.png,2.4759263630136235,2.2574755260855577,2.255671607863885,"""the word 'APPLE' on an apple"""
Glide,078-2.png,2.173509292200092,2.29481531354537,1.9335064377395224,"""a tennis court with three yellow cones on it"""
Glide,051-4.png,1.918869731638022,2.11309145369997,1.918357502541968,"""a portrait of a man wearing sunglasses and a business suit, painting in pop art style"""
Glide,093-1.png,1.759342242236563,1.9237034971223448,2.1843669199845213,"""a closet without clothes"""
stable-diffusion,022-3.png,2.0057830226746667,2.0960285933263108,1.9748160814275448,"""a blue semi-truck and its trailer jumping over a row of motorcycles. there are metal ramps on either side of the motorcycles. """
Controlnet,070-1.png,2.3435390902344317,2.168516855455299,2.176363167117044,"""Four cats surrounding a dog"""
DALLE,046-1.png,2.492186098307398,2.201458563500957,2.7207961137245844,"""a drawing of a series of musical notes wrapped around the Earth"""
stable-diffusion,056-4.png,2.847389538682473,2.762394842801241,2.384749720924257,"""an emoji of a baby penguin wearing a blue hat, red gloves, green shirt, and yellow pants"""
Unidiffuser,099-1.png,1.4192119495478308,1.5249951590821182,1.6220988940976735,"""An aerial view of Ha Long Bay without any boats"""
Unidiffuser,020-1.png,2.7730947164863173,2.1658975658503983,2.168012027692824,"""A donkey is playing tug-of-war against an octopus. The donkey holds the rope in its mouth. A cat is jumping over the rope."""
Lafite,004-4.png,2.232288935436223,2.445469134284088,2.798191508673232,"""a flower"""
stable-diffusion,092-1.png,2.6355251133128013,2.7726637239908287,2.156638785249848,"""a car with no windows"""
stable-diffusion,063-4.png,2.48476691281104,2.7404656607226805,2.201540662300851,"""A sign that says Deep Learning"""
Controlnet,099-2.png,2.812337357903934,2.6184844357461485,2.594092838876076,"""An aerial view of Ha Long Bay without any boats"""
Controlnet,026-1.png,2.8150382546206982,2.572016009318553,2.327060398162579,"""A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like colorful macarons. All of the macarons are wearing cowboy hats."""
Unidiffuser,084-4.png,2.53453031269511,2.4248979406213493,2.1511452958207977,"""a cross-section view of a walnut"""
Controlnet,081-2.png,2.4083044455416616,2.424320711953393,2.8661790118267296,"""two people facing each other"""
Unidiffuser,022-4.png,2.042278710601071,2.018264016791836,2.108544751897105,"""a blue semi-truck and its trailer jumping over a row of motorcycles. there are metal ramps on either side of the motorcycles. """
Controlnet,094-3.png,2.500499862019644,2.323364545917692,2.2079229112484926,"""a banana without its peel"""
Lafite,042-1.png,1.8267841792380195,1.908776397461348,1.891045314610139,"""A bicycle on top of a boat"""
DALLE,090-4.png,2.585073984111754,2.4646058851240378,2.5484492452405654,"""A bird gives an apple to a squirrel"""
Controlnet,009-4.png,2.9065783205445035,2.6835731032167907,3.0212900609467623,"""a photo of san francisco's golden gate bridge"""
DALLE,037-1.png,2.7725803694922355,2.9048950965276323,2.8258538134563684,"""A bare kitchen has wood cabinets and white appliances"""
Controlnet,024-4.png,2.7020304052554223,2.5487641435920074,2.307577069853465,"""a tree reflected in the sunroof of a blue car"""
Unidiffuser,092-4.png,2.354956193299139,2.244541045600008,2.1785304019149287,"""a car with no windows"""
Glide,016-1.png,1.9620766734595985,2.086696113819693,2.0546581229104133,"""A heart made of chocolate"""
Controlnet,017-2.png,3.059172527484761,2.729392869792042,2.68766309161827,"""a coffee table with a magazine on it"""
Lafite,085-3.png,1.9941284805495807,1.8513772912745448,2.0050625010423517,"""a close-up of an old-fashioned cocktail"""
Glide,083-4.png,2.082139845401603,2.5640429785884296,1.858459452829252,"""view of a clock tower from above"""
Controlnet,040-2.png,2.5910174969296627,2.49160287844192,2.972092603149109,"""A blue colored dog"""
Glide,018-4.png,2.347330404241691,2.879134131310741,2.707642487004829,"""Sunset over the sea"""
Controlnet,068-4.png,2.9427555552213853,2.926650146885458,2.851447071597385,"""a store front with 'Grassy Meadow' written on it"""
Unidiffuser,058-3.png,2.809708149801676,2.800270634822698,3.2934946322245566,"""a painting of a white country home with a wrap-around porch"""
stable-diffusion,071-4.png,2.114203217273789,1.995561308965332,1.9551569126901551,"""three children on a couch"""
stable-diffusion,006-3.png,2.033144156082588,2.235760640372288,2.2193653982788204,"""a book cover"""
Controlnet,030-4.png,2.6658557800965816,2.4635396555334594,2.3342497272620664,"""a dolphin in an astronaut suit on saturn"""
stable-diffusion,067-4.png,2.284464582077708,2.34921901577834,2.367181057998672,"""a yellow wall with 'Hello, world.' written on it"""
Glide,000-3.png,2.0377804619077944,2.297944404764656,2.745045769787726,"""a corgi"""
Controlnet,069-1.png,2.4717141851614173,2.6839451632963085,2.4821141204353867,"""A green sign that says ""Very Deep Learning"" and is at the edge of the Grand Canyon."""
Glide,041-1.png,1.970175136688536,2.0884798785048297,2.1159601769703658,"""A photo of an astronaut riding a horse in the forest."""
stable-diffusion,013-3.png,3.159120701292061,2.980337481799752,2.925724130059145,"""a teddy bear on a skateboard"""
Unidiffuser,034-1.png,2.28158867561274,2.707837735069903,2.498197713843214,"""a small garden with an apple tree behind it"""
DALLE,033-3.png,2.794602741549532,2.6573574525512718,2.654469253942403,"""purple lego dollhouse with a pool and a swing"""
Controlnet,055-2.png,2.972437676424256,2.736189363498608,3.067540739677777,"""a painting of the food of china"""
DALLE,069-3.png,2.7876120184071835,2.762714897550823,2.2362944458892517,"""A green sign that says ""Very Deep Learning"" and is at the edge of the Grand Canyon."""
Unidiffuser,074-4.png,2.792856679509914,2.9810043454356627,2.764991393659968,"""ten red apples"""
Unidiffuser,092-1.png,2.1872004113780203,2.0864820682886767,2.0607628378644143,"""a car with no windows"""
Glide,097-2.png,2.208441621395924,2.1262708564240973,2.059885827745054,"""a kitchen without a refrigerator"""
Glide,038-3.png,2.192635847481055,2.478482606543579,2.561980736436824,"""a fall landscape with a small cottage next to a lake"""
Unidiffuser,061-1.png,2.890657846685228,2.638190134984202,2.1676678420978077,"""the word 'HELLO' on a girl's face"""
Glide,067-3.png,2.2591247064253883,2.4689170572563794,1.7909730758367588,"""a yellow wall with 'Hello, world.' written on it"""
stable-diffusion,057-4.png,2.0461205429128286,2.2828295523144826,2.618572515203057,"""an oil painting of a tree and a building"""
stable-diffusion,083-4.png,2.202593891955249,2.3490643308284573,2.5982117075219606,"""view of a clock tower from above"""
Glide,029-4.png,2.239835316453968,2.40611143603099,2.3934568481611054,"""An anime illustration of Sydney Opera House sitting next to Eiffel tower, under a blue night sky of roiling energy, exploding yellow stars, and radiating swirls of blu"""
Unidiffuser,040-2.png,1.691996663570602,1.729286608304569,1.8706640184828227,"""A blue colored dog"""
stable-diffusion,077-3.png,2.7150927223313954,2.7923383600038494,3.0742271907245624,"""two pianos next to each other"""
Glide,087-3.png,1.8979118669128527,2.347957287296484,2.287528363650888,"""an aerial view of a dining room"""
Unidiffuser,062-1.png,2.7253638562601714,2.318109763861842,2.318023856995498,"""a hot air balloon with chameleon logo. the sun is shining and puffy white clouds are in the background."""
DALLE,056-2.png,2.917841873327382,2.906482556684255,3.1115961627641058,"""an emoji of a baby penguin wearing a blue hat, red gloves, green shirt, and yellow pants"""
Lafite,048-2.png,2.1577545530359834,2.133264784309632,2.0603231089817093,"""A large city fountain that has milk instead of water. Several cats are leaning into the fountain."""
Controlnet,088-1.png,3.1940872488282066,2.9989655584786297,2.856689871430248,"""an aerial photo of a sandy island in the ocean"""
Glide,043-3.png,1.8226439249051851,2.215375784502977,2.107206239896028,"""a sword slicing through a loaf of bread"""
Unidiffuser,019-2.png,1.5931693629947916,1.9752389625417817,2.3193552174365086,"""a boat in the canals of venice"""
Glide,001-4.png,1.5980674611789625,1.6097853524393346,1.6192694988561285,"""a girl"""
Lafite,040-4.png,1.7681338684534489,2.107353799218364,2.164872098064155,"""A blue colored dog"""
DALLE,010-1.png,3.20120933718923,2.8961162364952666,3.343447086832845,"""A giraffe walking through a green grass covered field"""
stable-diffusion,072-2.png,2.903917011281803,2.798341024880989,2.248051595691158,"""two motorcycles facing each other"""
Controlnet,050-3.png,2.8869904603945544,2.695205096502008,2.3248581804752275,"""A photo of a panda made of water."""
Controlnet,010-1.png,2.8308806196903435,2.3065054872308863,2.69891603103638,"""A giraffe walking through a green grass covered field"""
Controlnet,042-4.png,2.8068882285559056,2.6019029804061207,2.4945682084246608,"""A bicycle on top of a boat"""
Lafite,061-4.png,1.9627739105519093,1.7158369306691417,1.7605204095413494,"""the word 'HELLO' on a girl's face"""
DALLE,051-4.png,2.667434024427421,2.434723170996496,2.721175103724509,"""a portrait of a man wearing sunglasses and a business suit, painting in pop art style"""
Controlnet,037-3.png,3.077644451832766,3.2944698848061087,2.87225339526227,"""A bare kitchen has wood cabinets and white appliances"""
Controlnet,085-4.png,3.150021488955694,3.1112427298340792,3.359128915375704,"""a close-up of an old-fashioned cocktail"""
Glide,004-1.png,2.35177228238498,2.280380325947371,2.8258178657392485,"""a flower"""
Unidiffuser,025-3.png,2.6355660242738908,2.567604381649795,2.320949285446283,"""a pineapple with one beer to its left and two beers on its right"""
Lafite,088-3.png,2.0488091048259425,2.701870500972344,2.774499023286207,"""an aerial photo of a sandy island in the ocean"""
DALLE,060-2.png,2.438998445646285,2.1704965974462587,1.930051361031019,"""a cartoon of a dog saying ""I see what you did there"""""
DALLE,099-3.png,3.212395945366994,2.92164888730026,2.897687932167164,"""An aerial view of Ha Long Bay without any boats"""
Lafite,078-1.png,2.530974084010374,2.4588893191611145,2.357259484425739,"""a tennis court with three yellow cones on it"""
Controlnet,043-2.png,2.912999245241942,2.511574701510268,2.6705592246327603,"""a sword slicing through a loaf of bread"""
Controlnet,068-1.png,3.246507594718307,3.259717668152289,2.778950974918459,"""a store front with 'Grassy Meadow' written on it"""
stable-diffusion,038-4.png,3.460420371551552,3.33474142868234,3.575042088889546,"""a fall landscape with a small cottage next to a lake"""
Unidiffuser,047-3.png,2.729220996361138,2.514489099511659,2.4805189981489604,"""a small kitchen with a white goat in it"""
Unidiffuser,065-1.png,2.6727215739311587,2.415249702975246,2.272246649607787,"""Two cups of coffee, one with latte art of the words ""LOVE"" written in one. The other has latte art of the words ""PEACE"" written in the other."""
Glide,037-4.png,2.0962941603300687,2.213468588588058,2.2510210990968886,"""A bare kitchen has wood cabinets and white appliances"""
Lafite,054-1.png,2.074051152599533,2.401560512553067,2.53687988458045,"""A photo of a lotus flower made of water. """
DALLE,051-2.png,3.0573170990712724,3.1353725087209123,3.160980710014001,"""a portrait of a man wearing sunglasses and a business suit, painting in pop art style"""
Lafite,019-2.png,2.2881989725069665,2.5331878200806583,2.655922032824612,"""a boat in the canals of venice"""
Glide,053-4.png,1.6944402153348577,1.7409894515523865,1.9269524041041293,"""A spaceship made of cardboard."""
Glide,048-3.png,1.897919771988268,2.0297445648176056,2.0767950100950747,"""A large city fountain that has milk instead of water. Several cats are leaning into the fountain."""
DALLE,079-3.png,2.5400853947753923,2.3198186668991467,2.6226775924411165,"""Times Square with thousands of dogs running around"""
stable-diffusion,079-1.png,2.650960432276784,2.476276259437378,2.495623828970508,"""Times Square with thousands of dogs running around"""
Glide,010-1.png,2.13583864080097,2.374552991387076,2.3264307108032805,"""A giraffe walking through a green grass covered field"""
DALLE,036-4.png,2.8509398058872506,2.8631876966390752,2.6060263346277344,"""a kids' book cover with an illustration of white dog driving a red pickup truck"""
Unidiffuser,052-1.png,2.454958347309084,2.7422098623468023,2.693685823803853,"""a cartoon of a train going to the moon"""
Lafite,008-3.png,2.272802807549098,2.8292535593565056,2.91919209774827,"""a fall landscape"""
Unidiffuser,037-4.png,2.664841857327038,2.7741946129515305,2.757944065781025,"""A bare kitchen has wood cabinets and white appliances"""
Glide,079-4.png,1.7046321660339274,1.8279525421895684,1.8731966121261137,"""Times Square with thousands of dogs running around"""
DALLE,066-1.png,2.628741438086173,2.789515922800927,2.81456834724686,"""the word 'START'"""
DALLE,026-3.png,2.8176545893086478,2.7786642597447666,2.5915452513574206,"""A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like colorful macarons. All of the macarons are wearing cowboy hats."""
DALLE,004-4.png,2.5792860683472703,2.782986572281254,2.8402550312813446,"""a flower"""
DALLE,018-4.png,2.905540817728528,2.7762757567659504,2.551834854486868,"""Sunset over the sea"""
Controlnet,074-1.png,2.5948406945215607,1.9683797443697009,2.0589899472450712,"""ten red apples"""
DALLE,098-4.png,2.9600402630993217,2.9031289362081623,2.9898187284535505,"""a street without vehicles"""
DALLE,021-4.png,2.8634128438122888,2.9922436397185908,3.001214021095316,"""a grandmother reading a book to her grandson and granddaughter"""
DALLE,007-4.png,3.066791563443493,3.0853961072350407,3.091641959681267,"""a kitchen"""
Lafite,030-2.png,2.0145522871471373,1.8458919125067728,2.011723947187173,"""a dolphin in an astronaut suit on saturn"""
Glide,084-1.png,1.8805128444600172,1.8883815675565716,1.9396981994933455,"""a cross-section view of a walnut"""
Controlnet,021-1.png,2.451614568369809,2.1727622895923395,2.027249916732676,"""a grandmother reading a book to her grandson and granddaughter"""
Controlnet,077-2.png,3.0383466284220355,2.929122630540315,3.1591786361842686,"""two pianos next to each other"""
Controlnet,021-2.png,2.6787478306013224,2.3862480141976445,2.34219848055949,"""a grandmother reading a book to her grandson and granddaughter"""
Unidiffuser,040-1.png,2.857902895018421,2.7082675899502493,2.945888792745184,"""A blue colored dog"""
Lafite,036-3.png,2.089082908025001,1.829179175702004,2.269120327507244,"""a kids' book cover with an illustration of white dog driving a red pickup truck"""
Controlnet,035-1.png,2.8331178032932653,2.959545797343668,2.558364568070544,"""a bloody mary cocktail next to a napkin"""
Controlnet,053-3.png,2.8394975857631994,2.8889876281227145,2.7471288852172155,"""A spaceship made of cardboard."""
Lafite,025-3.png,2.1636542935738468,2.015450862205933,2.030875708277853,"""a pineapple with one beer to its left and two beers on its right"""
Lafite,094-3.png,2.0614868394251538,1.8924503635900456,2.055872227880656,"""a banana without its peel"""
